         505017 function calls (481555 primitive calls) in 84.998 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.000    0.000   84.557   84.557 core.py:85(create_short)
      2/1    0.000    0.000   84.526   84.526 <decorator-gen-55>:1(write_videofile)
   1330/1    0.004    0.000   84.453   84.453 decorators.py:47(requires_duration)
      2/1    0.000    0.000   84.453   84.453 <decorator-gen-54>:1(write_videofile)
      3/1    0.000    0.000   84.453   84.453 decorators.py:108(use_clip_fps_by_default)
      2/1    0.000    0.000   84.453   84.453 <decorator-gen-53>:1(write_videofile)
        1    0.000    0.000   84.453   84.453 decorators.py:17(convert_masks_to_RGB)
    13/12    0.000    0.000   60.162    5.013 threading.py:641(wait)
    13/12    2.208    0.170   58.288    4.857 threading.py:327(wait)
     1500    0.587    0.000   45.429    0.030 ffmpeg_writer.py:132(write_frame)
     2824   43.409    0.015   43.409    0.015 {method 'tobytes' of 'numpy.ndarray' objects}
     1501    0.038    0.000   32.397    0.022 Clip.py:442(iter_frames)
8657/2827    0.023    0.000   32.269    0.011 <decorator-gen-11>:1(get_frame)
8658/2827    0.073    0.000   32.262    0.011 decorators.py:78(wrapper)
8657/2827    0.020    0.000   32.189    0.011 Clip.py:77(get_frame)
5830/2827    0.019    0.000   32.184    0.011 Clip.py:136(<lambda>)
3003/1502    0.023    0.000   31.824    0.021 VideoClip.py:490(<lambda>)
        1    0.002    0.002   24.312   24.312 VideoClip.py:131(write_videofile)
        1    0.638    0.638   24.309   24.309 ffmpeg_writer.py:199(ffmpeg_write_video)
     1502    0.614    0.000   21.966    0.015 resize.py:150(<lambda>)
     1502   10.823    0.007   18.373    0.012 resize.py:8(resizer)
     2827    0.010    0.000   10.100    0.004 Clip.py:187(<lambda>)
     1500    0.634    0.000    9.782    0.007 ffmpeg_reader.py:116(read_frame)
     1503    0.007    0.000    9.705    0.006 VideoFileClip.py:113(<lambda>)
     1503    0.017    0.000    9.687    0.006 ffmpeg_reader.py:153(get_frame)
1535/1533    9.387    0.006    9.215    0.006 {method 'read' of '_io.BufferedReader' objects}
     5653    5.304    0.001    5.304    0.001 {method 'astype' of 'numpy.ndarray' objects}
     1502    5.244    0.003    5.244    0.003 {resize}
     2824    2.775    0.001    2.775    0.001 {method 'write' of '_io.BufferedWriter' objects}
        6    0.000    0.000    1.925    0.321 subprocess.py:1271(wait)
        6    0.000    0.000    1.925    0.321 subprocess.py:1592(_wait)
        6    1.925    0.321    1.925    0.321 {built-in method _winapi.WaitForSingleObject}
        1    0.000    0.000    1.861    1.861 <decorator-gen-45>:1(write_audiofile)
        1    0.000    0.000    1.861    1.861 AudioClip.py:145(write_audiofile)
        1    0.000    0.000    1.861    1.861 <decorator-gen-9>:1(ffmpeg_audiowrite)
        1    0.003    0.003    1.861    1.861 ffmpeg_audiowriter.py:143(ffmpeg_audiowrite)
        1    0.000    0.000    1.797    1.797 ffmpeg_writer.py:196(__exit__)
        1    0.000    0.000    1.797    1.797 ffmpeg_writer.py:182(close)
     1324    0.003    0.000    1.241    0.001 ffmpeg_audiowriter.py:71(write_frames)
     2834    0.076    0.000    0.585    0.000 proglog.py:240(__call__)
     2826    0.058    0.000    0.568    0.000 proglog.py:201(new_iterable)
     1325    0.024    0.000    0.517    0.000 AudioClip.py:64(iter_chunks)
     1324    0.002    0.000    0.424    0.000 <decorator-gen-44>:1(to_soundarray)
     1324    0.034    0.000    0.419    0.000 AudioClip.py:88(to_soundarray)
        1    0.000    0.000    0.388    0.388 VideoFileClip.py:78(__init__)
     2828    0.012    0.000    0.375    0.000 proglog.py:345(bars_callback)
     2824    0.017    0.000    0.359    0.000 std.py:1198(update)
      667    0.007    0.000    0.336    0.001 std.py:1325(refresh)
     1324    0.002    0.000    0.328    0.000 AudioFileClip.py:77(<lambda>)
     1324    0.164    0.000    0.326    0.000 readers.py:156(get_frame)
      669    0.006    0.000    0.312    0.000 std.py:1464(display)
        1    0.000    0.000    0.258    0.258 ffmpeg_reader.py:28(__init__)
        2    0.000    0.000    0.206    0.103 ffmpeg_reader.py:229(ffmpeg_parse_infos)
        2    0.000    0.000    0.186    0.093 subprocess.py:1177(communicate)
        2    0.000    0.000    0.182    0.091 subprocess.py:1615(_communicate)
        4    0.000    0.000    0.182    0.046 threading.py:1056(join)
        4    0.001    0.000    0.182    0.045 {method 'join' of '_thread._ThreadHandle' objects}
      4/2    0.000    0.000    0.181    0.091 threading.py:998(_bootstrap)
      4/2    0.007    0.002    0.181    0.091 threading.py:1025(_bootstrap_inner)
      4/2    0.000    0.000    0.175    0.088 threading.py:981(run)
    14/12    0.001    0.000    0.175    0.015 {method 'close' of '_io.BufferedReader' objects}
      4/2    0.000    0.000    0.175    0.087 subprocess.py:1610(_readerthread)
       25    0.006    0.000    0.159    0.006 readers.py:222(buffer_around)
      667    0.006    0.000    0.156    0.000 std.py:1150(__str__)
      669    0.003    0.000    0.149    0.000 std.py:457(print_status)
      667    0.044    0.000    0.144    0.000 std.py:464(format_meter)
       25    0.032    0.001    0.134    0.005 readers.py:109(read_chunk)
        1    0.000    0.000    0.129    0.129 AudioFileClip.py:65(__init__)
        1    0.000    0.000    0.129    0.129 readers.py:42(__init__)
      669    0.004    0.000    0.128    0.000 std.py:451(fp_write)
      685    0.127    0.000    0.127    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     1342    0.002    0.000    0.124    0.000 utils.py:194(inner)
    59/50    0.011    0.000    0.118    0.002 {method 'acquire' of '_thread.lock' objects}
        2    0.000    0.000    0.097    0.049 ffmpeg_audiowriter.py:119(close)
     2834    0.002    0.000    0.080    0.000 proglog.py:362(callback)
        6    0.000    0.000    0.079    0.013 std.py:716(write)
     2003    0.003    0.000    0.076    0.000 utils.py:378(disp_len)
    35/34    0.000    0.000    0.073    0.002 {built-in method builtins.next}
       12    0.000    0.000    0.073    0.006 std.py:725(external_write_mode)
       12    0.000    0.000    0.073    0.006 contextlib.py:136(__enter__)
       16    0.000    0.000    0.072    0.005 std.py:760(get_lock)
        1    0.000    0.000    0.072    0.072 std.py:90(__init__)
        1    0.000    0.000    0.072    0.072 std.py:116(create_mp_lock)
      7/2    0.000    0.000    0.072    0.036 <frozen importlib._bootstrap>:1349(_find_and_load)
