         8381846 function calls (8245540 primitive calls) in 14.821 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   14.821   14.821 core.py:44(download_video)
        1    0.004    0.004   14.468   14.468 YoutubeDL.py:1598(extract_info)
        1    0.000    0.000   13.078   13.078 YoutubeDL.py:1649(wrapper)
        1    0.000    0.000   13.078   13.078 YoutubeDL.py:1783(__extract_info)
        1    0.002    0.002   12.703   12.703 common.py:740(extract)
        1    0.001    0.001   12.699   12.699 _video.py:3536(_real_extract)
        6    0.000    0.000    9.450    1.575 common.py:922(_download_webpage_handle)
      912    0.002    0.000    7.089    0.008 socket.py:706(readinto)
      912    0.003    0.000    7.085    0.008 ssl.py:1289(recv_into)
      912    0.001    0.000    7.082    0.008 ssl.py:1129(read)
      912    7.081    0.008    7.081    0.008 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    6.665    6.665 _video.py:3496(_download_player_responses)
        5    0.000    0.000    6.639    1.328 common.py:1112(download_content)
        3    0.000    0.000    5.909    1.970 common.py:1169(_download_webpage)
        1    0.000    0.000    5.722    5.722 _video.py:3513(_list_formats)
       41    0.002    0.000    5.721    0.140 _video.py:3149(_extract_formats_and_subtitles)
        6    0.000    0.000    4.855    0.809 common.py:1034(_webpage_read_content)
        6    0.000    0.000    4.850    0.808 _requests.py:142(read)
        6    0.000    0.000    4.850    0.808 response.py:916(read)
        6    0.000    0.000    4.831    0.805 response.py:864(_raw_read)
        6    0.000    0.000    4.830    0.805 response.py:807(_fp_read)
        6    0.000    0.000    4.830    0.805 client.py:463(read)
        1    0.000    0.000    4.622    4.622 _video.py:2982(_extract_player_responses)
        6    0.000    0.000    4.595    0.766 common.py:848(_request_webpage)
        6    0.000    0.000    4.592    0.765 YoutubeDL.py:4165(urlopen)
        6    0.000    0.000    4.591    0.765 common.py:94(send)
       12    0.000    0.000    4.590    0.383 _helper.py:205(wrapper)
        6    0.000    0.000    4.590    0.765 common.py:355(send)
        6    0.000    0.000    4.590    0.765 _requests.py:321(_send)
     1594    0.009    0.000    4.447    0.003 {method 'read' of '_io.BufferedReader' objects}
     1505    0.001    0.000    4.440    0.003 client.py:635(_safe_read)
        6    0.000    0.000    4.293    0.716 sessions.py:500(request)
        6    0.000    0.000    4.286    0.714 sessions.py:673(send)
        6    0.000    0.000    4.284    0.714 adapters.py:613(send)
        6    0.000    0.000    4.277    0.713 connectionpool.py:592(urlopen)
        6    0.000    0.000    4.274    0.712 connectionpool.py:377(_make_request)
        2    0.000    0.000    4.185    2.093 _video.py:2900(_extract_player_response)
        2    0.000    0.000    3.446    1.723 _video.py:2332(_extract_signature_timestamp)
        1    0.000    0.000    3.445    3.445 _video.py:2007(_load_player)
    48/46    0.000    0.000    2.853    0.062 _video.py:2108(inner)
        2    0.000    0.000    2.851    1.426 _video.py:2149(_decrypt_nsig)
        2    0.000    0.000    2.847    1.423 _video.py:2318(extract_nsig)
    708/2    0.003    0.000    2.847    1.423 jsinterp.py:924(resf)
  12110/2    0.032    0.000    2.847    1.423 jsinterp.py:237(interpret_statement)
  12110/2    0.391    0.000    2.846    1.423 jsinterp.py:383(interpret_statement)
        1    0.000    0.000    2.818    2.818 common.py:2053(_extract_m3u8_formats_and_subtitles)
  8806/50    0.007    0.000    2.780    0.056 jsinterp.py:848(interpret_expression)
  1296/48    0.003    0.000    2.769    0.058 jsinterp.py:348(_operator)
      877    0.001    0.000    2.652    0.003 {method 'readline' of '_io.BufferedReader' objects}
        2    0.000    0.000    2.465    1.233 _base.py:751(_download_webpage_with_retries)
   706/84    0.002    0.000    2.405    0.029 _utils.py:5045(__call__)
        6    0.000    0.000    2.272    0.379 connection.py:485(getresponse)
        6    0.000    0.000    2.271    0.378 client.py:1386(getresponse)
        6    0.000    0.000    2.271    0.378 client.py:324(begin)
        6    0.000    0.000    2.267    0.378 client.py:291(_read_status)
        6    0.000    0.000    1.998    0.333 connectionpool.py:1085(_validate_conn)
        2    0.000    0.000    1.998    0.999 connection.py:669(connect)
        2    0.000    0.000    1.898    0.949 connection.py:846(_ssl_wrap_socket_and_match_hostname)
        2    0.000    0.000    1.898    0.949 ssl_.py:390(ssl_wrap_socket)
        2    0.000    0.000    1.898    0.949 ssl_.py:488(_ssl_wrap_socket_impl)
        2    0.000    0.000    1.898    0.949 ssl.py:449(wrap_socket)
        2    0.000    0.000    1.898    0.949 ssl.py:990(_create)
        2    0.000    0.000    1.897    0.949 ssl.py:1365(do_handshake)
        2    1.897    0.949    1.897    0.949 {method 'do_handshake' of '_ssl._SSLSocket' objects}
   254224    1.358    0.000    1.711    0.000 jsinterp.py:300(_separate)
    72863    0.078    0.000    1.513    0.000 __init__.py:330(_compile)
        5    0.001    0.000    1.473    0.295 client.py:591(_read_chunked)
     2132    0.002    0.000    1.401    0.001 __init__.py:287(compile)
     2039    0.010    0.000    1.388    0.001 _compiler.py:743(compile)
     1941    0.003    0.000    1.340    0.001 lazy_extractors.py:56(suitable)
     1945    0.013    0.000    1.338    0.001 lazy_extractors.py:63(_match_valid_url)
3052/1490    0.025    0.000    1.053    0.001 jsinterp.py:697(eval_method)
     2039    0.008    0.000    0.935    0.000 _parser.py:970(parse)
9277/2039    0.038    0.000    0.922    0.000 _parser.py:451(_parse_sub)
16216/2081    0.363    0.000    0.912    0.000 _parser.py:511(_parse)
        2    0.000    0.000    0.735    0.368 _base.py:1009(_extract_response)
        2    0.000    0.000    0.734    0.367 _base.py:598(_call_api)
        2    0.000    0.000    0.730    0.365 common.py:1100(download_handle)
9526/8261    0.017    0.000    0.539    0.000 _utils.py:221(wrapped)
     2039    0.004    0.000    0.433    0.000 _compiler.py:576(_code)
        2    0.000    0.000    0.429    0.215 _base.py:763(_download_ytcfg)
      757    0.001    0.000    0.389    0.001 client.py:567(_get_chunk_left)
