         4409 function calls (4402 primitive calls) in 1.123 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    1.123    1.123 gpt_service.py:8(extract_timecodes)
        1    0.000    0.000    1.121    1.121 chat_completion.py:12(create)
        1    0.000    0.000    1.121    1.121 engine_api_resource.py:127(create)
        1    0.000    0.000    1.121    1.121 api_requestor.py:277(request)
        1    0.000    0.000    1.121    1.121 api_requestor.py:569(request_raw)
        1    0.000    0.000    1.076    1.076 sessions.py:500(request)
        1    0.000    0.000    1.075    1.075 sessions.py:673(send)
        1    0.000    0.000    1.075    1.075 adapters.py:613(send)
        1    0.000    0.000    1.073    1.073 connectionpool.py:592(urlopen)
        1    0.000    0.000    1.073    1.073 connectionpool.py:377(_make_request)
        1    0.000    0.000    0.763    0.763 connectionpool.py:1085(_validate_conn)
        1    0.000    0.000    0.763    0.763 connection.py:669(connect)
        1    0.000    0.000    0.627    0.627 connection.py:846(_ssl_wrap_socket_and_match_hostname)
        1    0.000    0.000    0.627    0.627 ssl_.py:390(ssl_wrap_socket)
        1    0.000    0.000    0.627    0.627 ssl_.py:488(_ssl_wrap_socket_impl)
        1    0.000    0.000    0.627    0.627 ssl.py:449(wrap_socket)
        1    0.000    0.000    0.627    0.627 ssl.py:990(_create)
        1    0.000    0.000    0.627    0.627 ssl.py:1365(do_handshake)
        1    0.627    0.627    0.627    0.627 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    0.310    0.310 connection.py:485(getresponse)
        1    0.000    0.000    0.310    0.310 client.py:1386(getresponse)
        1    0.000    0.000    0.310    0.310 client.py:324(begin)
        1    0.000    0.000    0.309    0.309 client.py:291(_read_status)
       16    0.000    0.000    0.309    0.019 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.309    0.309 socket.py:706(readinto)
        1    0.000    0.000    0.309    0.309 ssl.py:1289(recv_into)
        1    0.000    0.000    0.309    0.309 ssl.py:1129(read)
        1    0.309    0.309    0.309    0.309 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    0.135    0.135 connection.py:192(_new_conn)
        1    0.000    0.000    0.135    0.135 connection.py:27(create_connection)
        1    0.000    0.000    0.115    0.115 socket.py:960(getaddrinfo)
        1    0.115    0.115    0.115    0.115 {built-in method _socket.getaddrinfo}
