         102336 function calls (102170 primitive calls) in 3.380 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    3.380    3.380 service.py:51(_get_transcript)
        1    0.000    0.000    3.379    3.379 _api.py:267(get_transcript)
        2    0.000    0.000    3.336    1.668 sessions.py:593(get)
        2    0.000    0.000    3.336    1.668 sessions.py:500(request)
        2    0.000    0.000    3.334    1.667 sessions.py:673(send)
        1    0.000    0.000    3.260    3.260 _api.py:137(list_transcripts)
        1    0.000    0.000    3.260    3.260 _api.py:84(list)
        1    0.000    0.000    3.260    3.260 _transcripts.py:348(fetch)
        1    0.000    0.000    3.260    3.260 _transcripts.py:355(_fetch_captions_json)
        1    0.001    0.001    3.227    3.227 _transcripts.py:427(_fetch_video_html)
        1    0.000    0.000    3.226    3.226 _transcripts.py:436(_fetch_html)
      210    0.001    0.000    2.290    0.011 socket.py:706(readinto)
      210    0.001    0.000    2.289    0.011 ssl.py:1289(recv_into)
      210    0.000    0.000    2.288    0.011 ssl.py:1129(read)
      210    2.288    0.011    2.288    0.011 {method 'read' of '_ssl._SSLSocket' objects}
        6    0.000    0.000    1.996    0.333 models.py:890(content)
       23    0.000    0.000    1.996    0.087 {method 'join' of 'bytes' objects}
       49    0.000    0.000    1.995    0.041 models.py:816(generate)
       49    0.000    0.000    1.995    0.041 response.py:1044(stream)
       49    0.001    0.000    1.995    0.041 response.py:1173(read_chunked)
        2    0.000    0.000    1.337    0.669 adapters.py:613(send)
        2    0.000    0.000    1.335    0.668 connectionpool.py:592(urlopen)
        2    0.000    0.000    1.334    0.667 connectionpool.py:377(_make_request)
      510    0.000    0.000    1.270    0.002 {method 'readline' of '_io.BufferedReader' objects}
        2    0.000    0.000    1.025    0.512 connectionpool.py:1085(_validate_conn)
        1    0.000    0.000    1.025    1.025 connection.py:669(connect)
        1    0.000    0.000    1.024    1.024 connection.py:846(_ssl_wrap_socket_and_match_hostname)
        1    0.000    0.000    1.024    1.024 ssl_.py:390(ssl_wrap_socket)
        1    0.000    0.000    1.024    1.024 ssl_.py:488(_ssl_wrap_socket_impl)
        1    0.000    0.000    1.024    1.024 ssl.py:449(wrap_socket)
        1    0.000    0.000    1.024    1.024 ssl.py:990(_create)
        1    0.000    0.000    1.023    1.023 ssl.py:1365(do_handshake)
        1    1.023    1.023    1.023    1.023 {method 'do_handshake' of '_ssl._SSLSocket' objects}
      471    0.001    0.000    1.023    0.002 response.py:1151(_handle_chunk)
      937    0.001    0.000    1.022    0.001 client.py:635(_safe_read)
      937    0.001    0.000    1.021    0.001 {method 'read' of '_io.BufferedReader' objects}
      473    0.001    0.000    0.964    0.002 response.py:1133(_update_chunk_length)
        2    0.000    0.000    0.309    0.154 connection.py:485(getresponse)
        2    0.000    0.000    0.308    0.154 client.py:1386(getresponse)
        2    0.000    0.000    0.308    0.154 client.py:324(begin)
        2    0.000    0.000    0.307    0.154 client.py:291(_read_status)
        1    0.000    0.000    0.119    0.119 _transcripts.py:128(fetch)
